[2025-10-24 16:07:19 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:21 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:21 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:27 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:28 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:29 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:29 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:30 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:30 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:31 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:32 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:33 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:33 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:34 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:07:38 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:09:36 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:09:59 UTC] [PDO Connection] SQLSTATE[HY000] [1049] Unknown database 'project_genesis' (Archivo: E:\xampp\htdocs\ProjectGenesis\config\config.php, Línea: 47)
[2025-10-24 16:10:40 UTC] [settings_handler - update-username] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'project_genesis.user_audit_logs' doesn't exist (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 228)
[2025-10-24 16:10:45 UTC] [settings_handler - update-username] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'project_genesis.user_audit_logs' doesn't exist (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 228)
[2025-10-24 16:10:57 UTC] [settings_handler - request-email-change-code] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'project_genesis.verification_codes' doesn't exist (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 341)
[2025-10-24 16:10:59 UTC] [settings_handler - request-email-change-code] SQLSTATE[42S02]: Base table or view not found: 1146 Table 'project_genesis.verification_codes' doesn't exist (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 341)
[2025-10-25 21:33:49 UTC] [settings_handler - resend-email-change-code] SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 487)
[2025-10-25 21:33:52 UTC] [settings_handler - resend-email-change-code] SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 487)
[2025-10-25 21:34:01 UTC] [settings_handler - resend-email-change-code] SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens (Archivo: E:\xampp\htdocs\ProjectGenesis\api\settings_handler.php, Línea: 487)
